label,text
好评,"质量好,做工也不错,尺码标准,"
好评,裤子质量很好，裤型不错，而且穿起来显瘦，性比价高，是我喜欢的布料，不起球，值得购买，
好评,做工很好，货真价实，质量不错满意！
好评,真是不错呢！裤子质量很好，穿着也很有型，帅帅的，更喜欢他了呢！快递很快，态度也特别好，跟客服咨询问题能够得到快快速的回答，下次还会光顾，么么哒
好评,品质还可以，就是有点掉色，可以接受
好评,质量不错，尺码大小合适，很喜欢
好评,很喜欢，很满意，下次我还会再来的，不会掉色，质量很不错的
好评,质量不错，价格不贵，穿上裤型很好，快递小哥超级赞
好评,裤子没有色差，尺码也正好，而且还有弹力，真心不错！
好评,裤子真心不错 店家态度也很好 还会再光顾的。
好评,宝贝收到了，试了一下，穿上挺舒服的，是正品，综合给好评
好评,东西很好大小刚刚合适，关键发货快啊，收藏店铺了，下次还会来
好评,裤子到了，物流挺快的，裤子质量也很好，有弹性，无色差，我很喜欢，好评！！！
好评,裤子收到了，质量非常好，这个价格买到这个料子的裤子简直太高兴了，下次还来这家店买，建议大家可以买，质量很好
好评,京东购物很给力，支持京东！！！
好评,裤子不错，掉色不掉色还不知道，就这样了
好评,很不错，有弹性。尺寸可能是面料有弹性的原因吧，稍微感觉有一点点偏大，不过一点不影响。
好评,照片拍的不行，但东西挺好，是我买的第二条了，很喜欢这样的裤子，物流也中。
好评,裤子给孩子买的，还行，后边又买了一条，穿了一阵了算是成功的购物
好评,布料柔软 版型很正 根据评论数选的裤子没让人失望 好评！
好评,值得信赖的大品牌，包装很精美质量更加没话话。客服也很尽责，怕我码数拍大了还特地提醒我。
好评,裤子很不错 弹性很好 颜色也很正 以后就来这里买啦 我已经介绍小伙伴们来啦
好评,超薄舒适，就是才洗一次就有点掉色了
好评,还不错！这个价位算是物有所值了！
好评,有点大了！但是还凑合！不错！值得拥有
好评,质量杠杠的，物流配送速度快，还会继续购买关注这个品牌。
好评,裤子回来了。真的没有想到这么好，穿上很帅气。特别有型。对比其它家的也不错。这个价格更值得。客服也特别有耐性。好评
好评,商品刚收到，试第一下，穿着舒适，大小适中。店家服务热情，耐心周到。快递员服务文明，辛苦了!
好评,没色差，款式也不错，穿上很舒服
好评,裤子还没穿，今天刚收到，看了一下，还不错
好评,第二次购买啦！上次买的那一条，质量很好。现在收到货了，质量还是一如既往的好。这种裤子蛮有弹性的，是买给老公上班可以替换穿的。这一家的码数不偏差，老公穿的很舒适，才叫我回来在这一家在过买的。
好评,颜色跟一般墨绿色不一样，尺寸偏小
好评,质量不错，面料好，做工不错，穿上挺舒服的，大小合适
好评,很好的裤子质量不错，尺码也标准。卖家服务周到，售后服务满意
好评,"衣服已经收到了,物流挺快的,质量还不错,试穿了大小也合身,大气上档次，颜色也和图上的一样,款式大方,好搭配.手感摸着衣服的面料还挺柔软的,不会起皱，版型时尚修身，穿着也很舒服.超喜欢，很满意的一次网购，五分好评"
好评,衣服真的很不错，质量看起来特别好
好评,质量很好，非常的舒服，大小合适，做工很精细，包装的很好，没有失望哦！发货很快！
好评,裤子收到了，超级不错哦，面料挺好的，版型好看
好评,衣服的手感和做工都还不错，价格不贵，没有色差，大小也合适，卖家发货速度也很快
好评,质量不错，很满意，样式也很好。
好评,质量没得说，裤子很舒服！！这个价位太值了！包装很好~~发货也很快~~非常好的宝贝~~ 客服态度超好~~下次还会来的~~
好评,裤子不错，大小合适 穿上很舒服，很满意。
好评,好多年以前买过这个牌子的衣服，感觉质量不错，所以这次买几件试试，穿上还是比较舒服的，价格比较实惠，版型也非常适合。不错。
好评,裤子穿着非常舒服，面料也很好，穿得很得体。很赞的裤子，以后也会再来买，多多光顾～～
好评,裤子不错。不硬。上身效果棒棒的
好评,裤子质量很好 发货速度也很及时 之前就想买了 价钱也公道 喜欢的赶紧拍下吧
好评,还不错，穿着舒服，价钱便宜，班尼路挺不错
好评,第二次买，很舒服，如果想紧身，建议买小一码
好评,裤子质量不错穿着很舒服 样子也好看 性价比超高 真是物美价廉啊！！！
好评,宝贝收到了，拿来送人的，很满意。质量挺好的，面料什么的也没的说。店家服务态度很不错，物流特别快。下次还会来买的。
好评,"试穿一下刚好合身,还没洗不知道会掉颜色吗质量挺好。"
好评,这个裤子不错，你们可以考虑一下。穿起来挺舒服的，真的。
好评,颜色很正，质量很好，面料很舒服，夏天也不会觉得很热，洗了也不掉色。
好评,面料舒服，穿着合身，这个夏天正适合。
好评,穿过才来评价，非常好，好评，纯棉，打底最后，本人173com，体重118刚刚好
好评,三天就收到货了 速度很给力 喜欢
好评,裤子面料很不错穿上效果好很满意的一次购物
好评,质量不错，做工细致，主要是码数标准，穿上刚好特舒服的，很满意，赞一个。
好评,大小合适，质量不错，穿在身上效果很好
好评,质量很好，面料不错，老公很喜欢，穿的很舒服，卖家服务态度好，发货速度快，好评！
好评,牛仔裤质量不错，大小合身，料子穿着也舒服，版型不错，样式跟图片一样，没有色差！不错满意，老板发货也快！
好评,给爸爸买的裤子非常好看，大小正合适，布料舒服?，下次继续光临哦?
好评,"裤子质量很好,老公很喜欢,大小合适,不错,"
好评,还不错，摸起来蛮舒服的，质感还可以
好评,手感不错，材料也很好，总之这个价格算是很值得。
好评,裤子很好，感觉和图片上是一样的，服务也很好。希望下次还能再次光临小店购买东西……
好评,不错哦，刚刚合适哦！老顾客，就是质量好，老板很好说话哦！
好评,质量很好哦 版型也不错 老公很喜欢 价格超实惠 确实不错 客服服务很好 推荐的大小刚刚好 很满意的
好评,衣服不错，宽松一点，挺好的。
好评,不错，给哥哥买的裤子，他穿着很合身，很舒服，没买错?
好评,宝贝已经收到了，质量和版型都很不错，也没有色差，而且物流速度也非常给力，客服态度好，下次买裤子还会多多关顾的
好评,比我想象的好，手机拍摄的照片要比实际鲜艳一点。
好评,裤子质量很好，布料不错，没色差，大小也合适穿着很舒服 好评！
好评,衣服挺好，很喜欢，物流配送也不错，下次继续。
好评,收到货了 是正品 而且码数刚好 质量又很好
好评,给朋友买的，裤子很合身，穿起来很舒服，不褪色比较不错哦！喜欢的朋友赶紧下手吧
好评,衣服穿着还可以，就是快递有点慢。
好评,穿起来很合身颜色也对弹性好很舒服
好评,裤子做工质量很不错 已经是第二次购买 依旧还是很好 样式、大小、尺码都很合适 无色差 物美价廉 还会继续支持。
好评,第一次买该品牌的牛仔裤，裤子质量不错，就是裤子上有那些一条一条类似划伤的装饰，感觉挺别扭的
好评,收到了，质量很好，穿上很舒服，料子也不错软软的
好评,裤子不错，搞活动买的，下次还会来光顾的啊。
好评,物流很快，不到3天就到了，而且这条裤子的质量很好，我很喜欢
好评,下次还是在京东购买，这个品牌的衣服不错，家人很喜欢。
好评,质量很好，很喜欢，价格也划算。
好评,确实超值，值得购买，想买的赶紧买。不要犹豫，不要纠结
好评,还不赖，适合夏天穿。。。。。。。。。。。。。
好评,裤子穿起来很合身，也挺舒服，质量不错，衣服面料挺好的，这次购物很愉快
好评,裤子穿着合身，款式时尚，没有色差。
好评,裤带做工和用聊一点都不讲究。还有许多地方值得改进。
好评,第二次买啦，上次买的非常舒服好穿，所以决定回购。这次的质量也没有让人失望，会推荐朋友来的。
好评,衣服很满意 质量不错 穿上很舒服
好评,裤子质量很好，店家推荐尺码很合适。我男朋友穿着很合适很帅气。推荐大家购买哦
好评,裤子收到了 好好啊 老公非常喜欢 大小正合适 还会继续关注的
好评,好评，和图上的一模一样，料子也很好，，下次还来这里买
好评,刚收到宝贝，男朋友特别喜欢，物流也是杠杠的快。都挺好的。
好评,布料很好，穿上特别舒服，不起球，长度合适，重要的是穿上很显腿长，很帅。
好评,这裤子非常好，性价比之类的都特别好，穿着非常的非常的舒服，货比三家，绝对是物超所值，下次还会来这家购买，对这次购物非常满意
好评,衣服质量不错，穿着很舒服，款式也很好，全5分好评，下次还买
好评,裤子很好，男盆友穿起来很好看，有型，也舒服，卖家态度也很好，下次还买，想买的盆友快入手把～    评价图片
好评,收到牛仔裤打开包裹的时候，惊呆了。牛仔裤确实很棒，比预想中的好太多！一条牛仔裤有这么精湛工艺，以及客服的服务态度都深深的打动了我。无论是那质量和版型都是让我倍感喜爱。以后买牛仔裤首先考虑你家～
好评,宝贝收到了，很喜欢，质量不错，
好评,裤子收到了，质量不错，价格便宜，穿着舒服，下次我还会来买的
好评,穿着特别舒服，而且有弹性。型也好。
好评,东西不错，貌似号要稍微大点，是棉的，物流也快，应该是年后第一波吧
好评,好想你了，我的人都有自己的生活方式，我的生活了？我就去买的是我自己了！好吧、有个人都不好玩不好玩的好地方。你是一个人都不好玩不好的人是你自己不知道怎么回家的士都江堰救灾的是自己想要的就是这个了！好累了、有的两只狗的我查查条码比价从前一
好评,质量很好的，款式也不错，看起来高档大气，卖家服务还好，不错。
好评,贝质量很好，款式时尚，大小合适，做工精致 穿着舒服，服务很好，谢谢MM
好评,大小合适，样式不错，穿着很舒服
好评,质量不错，价格也合适，裤型也很满意。
好评,裤子和图片一样呢 物美价廉穿起来很舒服下次还来买 快递给力 老板服务很不错，全五分好评
好评,宝贝质量不错，款式时尚大方，颜色很好看，很大气的一款，上身效果很好，很满意的一次购物
好评,裤子质量很不错与图片挺相符，收到货试穿挺合身的腰围也正好，个人觉得挺实惠很满意。
好评,裤子质量不错，面料也挺好的，穿上身很有型。大小也正合适。
好评,物流迅速。衣服质量不错，面料手感好，尺码标准，穿了合身，价格实惠，总体满意，服务态度好，好评
好评,裤子很好啊，我老公穿起来很合身，而且很帅哦，下次还会光顾的，物流也很快，客服态度也是极好极好的。
好评,哈哈，去年夏季就买的这款今年又遇上，当然手起刀落
好评,物流给力，很快收到货，裤子资量OK，穿着适服
好评,裤子穿了一个多月，质量不错，里面很棉和，外型挺酷。我200多斤，穿起来不太显胖。
好评,非常满意，性价比很高，质量真的不错 比想象中的要好
好评,裤子挺好看，质量也不错，老公搭配衣服挺好看也很喜欢穿
好评,今天收到了仔裤。是真正的花花公子品质，衣料好，做工好，式样也好，包装也很仔细，感到挺满意。    但是，因为个人的原因，确定衣服的号码大了一号，不得不更换，有点自找麻烦了。
好评,老公很喜欢这裤子，本来打算给爸爸再买一条的，结果涨价了，裤子的价格也不贵，质量挺好的。好评五星
好评,客服态度很好，裤子也很不错，哥哥穿上帅帅哒。质量是正品没差！果断收藏之，下次还要来！
好评,裤子很好看 弹性也不错 穿着很舒适
好评,宝贝很好，老公穿着很合适，非常喜欢
好评,衣服收到了，试穿了一下衣服大小合适，穿着很年轻衣也好看，做工没话说，好了以后就买你家衣服了。
好评,质量不错 穿的很舒服 很好很好很好
好评,发货挺快，挺好，穿着也挺舒服，很不错的。
好评,很好的，超级好，真的根不错，要买的赶紧买，不买不行。
好评,老公很喜欢衣服不错，质量很好，很满意，
好评,裤子手感舒服，质量很好，做工很讲究，布料很软穿上很舒服，大小合适，不错。
好评,裤子质量非常好，穿起来很舒服，显的腿很修长，有气质
好评,宝贝收到了，质量很多，版型也好看，男朋友穿上很帅气，真是物美价廉，大爱！喜欢的亲快行动哦。
好评,"质量很好。很合身。服务态度好,物流快,穿起来很舒服。比实体店便宜,下次还会继续购买。大家都可以来购买吧！"
好评,商品不错，质量很好，款式简单大方，面料很好，大小合适，穿上很漂亮，值得推荐。
好评,面料舒适度：裤子很好呢，这是买的第二条了，价钱便宜质量优质，服务一流，何乐不为呢，好评。。
好评,质量不错 物流有点慢 不过整体好评～
好评,不错不错，好喜欢，一以就买了两件，京东信你的
好评,裤子收到了，没有色差，穿着舒服，很好。
好评,宝贝收到了，很喜欢，质量不错
好评,按照推荐尺寸，完全偏大。给老爸穿了。
好评,裤子不错呦～同学穿着很合身，卖家推荐的尺码很合适，不大不小，之前没太多的在网上买过裤子，卖家超有耐心的说。
好评,白色有点透，还行还行还行还行还行
好评,不错。这价能买到这样的质量真心不错
好评,东西收到以后马上查看，发现与图片描述一致，超级喜欢，卖家发货速度很快，，服务也很到位，给老板点个赞，下次还会来购买..快递小哥很给力送货上门很！裤子还送了线很周到！一下买了3件 ！要想买的宝贝赶紧下手吧！正品！
好评,不错，就是有点薄，白色的有点透……
好评,质量不错，颜色很正和图片一样，款式很好看，穿着很舒适，给满分
好评,高端大气上档次，物美价廉，用最少的价格买到最好的产品。穿起来很合身，像量身定做的一样。质量很好，浸水洗涤没有褪色。
好评,裤子穿着正合适，值这个价钱，别人看了也觉得好，下次再来
好评,给老公买的，穿上非常合适！裤子版型也好
好评,这次购买的裤子感觉蛮适合，蛮舒服，买了穿了好几次才评价，不过还是牛仔裤的通病洗时有点退色
好评,收到了，款式很好看，穿着很舒服，质量非常好，尺码也没有偏差，非常满意
好评,质量不错，颜色我比较喜欢，听了客服的建议，大小合适，希望快递下次再快点
好评,裤子质量很好 很舒服 样式也好看
好评,货收到了，质量不错，款式喜欢，材质挺好的，做工精细，物流很快
好评,"款式和质量都很好，老公很喜欢，质量还蛮厚的,颜色也很正，确实很不错"
好评,裤子质量不错，货真价实，和店家介绍的基本相符，大小合适，样式也很满意，穿上裤子走路感到很轻便，舒服
好评,做工很确实非常不错，客服服务也非常好，
好评,很好，满意，物流也很快。下次再来
好评,面料手感舒服 款式不错 物美价廉
好评,宝贝质量非常不错做工也很精细价位也不高可以说是物美价廉穿起来也很美观朋友们都说超值客服服务也很到位以后还会光顾你们这个店的
好评,款式高档面料好做工精细质量不错
好评,产品质量很好！价格便宜！值得表扬
好评,"质量非常好，与卖家描述的完全一致，非常满意,真的很喜欢，完全超出期望值，发货速度非常快，包装非常仔细、严实，物流公司服务态度很好，运送速度很快，很满意的一次购物！"
好评,收到货了，说一下个人看法给大家做个参考。首先款式和我想的差不多，跟图片上也一致，属于比较年轻的款，所以年龄上要有所考虑。再者这款裤子的码数偏小一些，所以买的时候买大一码呀。总得来说还是蛮好的，推荐大家购买
好评,裤子质量很不错，物流也很好，值得推荐的店铺，值得购买
好评,裤子很满意，买给弟弟穿的，弟弟很喜欢，尺码，款式都很好，质量也很棒，很喜欢，会一直关注的。
好评,裤子质量特别好，穿在腿上特别舒服。物美价廉，总之一次不错的购物，下次还来他家购物。
好评,卖家服务态度特别好，超耐心，裤子版式也好，料子更是赞得不行，自己很喜欢，朋友也很喜欢，说也要买一条，真的好赞赞赞赞赞赞赞赞赞！
好评,收到了，这么优惠的价格收到质量不错的还挺满意的，而且都没有线头，老公很喜欢。
好评,非常好，baleno完美。 下次继续。
好评,刚刚穿上，感觉还不错。这个价位还可以。
好评,裤子不错，质量很好。卖家的态度很好。很喜欢
好评,裤子挺好看的，很合身，物流特别快，客服服务态度挺不错的，好评，愉快的一次购物
好评,老公很喜欢～穿上很帅～果断好评～
好评,裤子很合适 穿上很帅 客服很热心推荐的尺码很合适 已经收藏店铺下次会光顾的 希望店家越做越好
好评,裤子颜色没有色差，穿起来很舒服，料子挺好，没有什么异味，一看做工挺精细，没有线头什么得，对这条裤子挺满意得，感觉还会再来买得，棒棒哒
好评,质量不错，颜色 也很正，很满意，实物比图片好看款式大气上档次，做工和材质很好的
好评,超级给力，无限魅力，货到神速
好评,裤子对得起这个价格，毕竟只是*的。
好评,裤子质量很好，版型也不错，值得购买
好评,裤子质量相当不错，穿着舒服，有型
好评,之前买过了，M码，冬天打底的。我180，体重67，打的M码刚好，夏天穿就应该长一点，L码。如果是夏天穿的，建议L码。
好评,衣服质量不错，款式时尚，穿起来很合身，和定做的一样，卖家发货很快，我很满意！
